index,Where do you live now?,Has anyone in your family or friend circle opted for energy-efficient solutions while renovating their homes?,What is the property in renovation to be used for:,Which type of neighborhood do you live in?,How many members do you live with?,What’s the type of house you live in:,Why would you renovate your home if you want to?,Who would you seek guidance from for renovating your home?,What would motivate you to consider energy-efficient renovation solutions?,Which of the following features do you care about most when using a home renovation app?,Under which scenarios will you notice and check a home renovation service?,Why do you prefer to choose a specific home renovation company?,What’s your budget for home renovation if you need one?,Would you consider opting for energy-efficient solutions if they cost you slightly more?,How much more are you willing to pay for energy-efficient materials compared to traditional materials?,How much would you like to pay for a consultation service for energy efficiency of your home?,What aspects of home decor / renovation do you value the most?,For  what part of buildings do you think is the most necessary to use new energy materials?,How many new energy materials are used in your current home?,What do you think is the most important to a high energy efficiency building?,Which room or which part do you want to renovate most at present?, How frequently will you consider renovating your home?,What is the duration you expect to renovate?,Do you have knowledge of energy efficiency materials used in home decor/ renovation?,"Since you have previous experience or knowledge of energy efficiency materials used in home decor/ renovation, will you still consult professional services on renovation?","Since you do not have knowledge of energy efficiency materials used in home decor/ renovation,How will you decorate/ renovate your home?"
1,North America,No,Investment,Sub-urban,3~5,Terraced house,Lower energy costs,Online forums,Government reforms,Energy efficiency solutions,"Video ads on streaming platforms(Youtube, Tiktok)",Attracted by its previous successful cases with other customers,Between $100K and $200K,Yes,5% ~ 10%,$10/m2 ~  $20/m2,Price,Wall,Below 10%,Design including materials & technologies used,Bedroom,1~5 years,3 to 6 months.,No,pass,Search information and do most work on my own
2,North America,No,Home,Urban,1~2,Apartment/Unit,Improve the functionality of home,Renovation service providers,Solutions recommended by reputed technical experts,Energy efficiency solutions,"Video ads on streaming platforms(Youtube, Tiktok)",A more favorable price compared with other companies,Between $100K and $200K,No,10% ~  20%,$10/m2 ~  $20/m2,Comfort level,Wall,Below 50%,Living comfortably,Bathroom,1~5 years,3 to 6 months.,No,pass,Consult professional services/ companies for help
3,South America,No,Home,Commercial,1~2,Apartment/Unit,Improve the functionality of home,Renovation service providers,Solutions recommended by reputed technical experts,Price estimation,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Good reputation/ review ratings among previous customers,Less than $40k,Yes,5% ~ 10%,<$10/m2,Comfort level,Roof,Below 10%,Design including materials & technologies used,Kitchen,1~5 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
4,North America,Not sure,Home,Sub-urban,1~2,Townhouse,Lower energy costs,Trustworthy friend,More people in your neighborhood opting-in,Energy efficiency solutions,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $100K and $200K,Maybe,10% ~  20%,$20/m2 ~  $30/m2,Efficiency,Wall,Below 10%,Living comfortably,Kitchen,5~10 years,7 to 12 months.,No,pass,Ask experienced friends to help
5,North America,Yes,Home,Urban,1~2,Apartment/Unit,Lower energy costs,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency evaluation.,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Good reputation/ review ratings among previous customers,Between $100K and $200K,Maybe,10% ~  20%,$20/m2 ~  $30/m2,Efficiency,Wall,Below 10%,Fair/acceptable price,Drawing room,1~5 years,Less than 2 months.,Yes,Not sure,pass
6,North America,No,Home,Urban,1~2,Apartment/Unit,Change of lifestyle,Renovation service providers,Government reforms,Preview of the renovating result,"Physical Adds offline (In markets, subways, buildings)",Good reputation/ review ratings among previous customers,Between $40K and $100K,No,<5%,$10/m2 ~  $20/m2,Comfort level,Wall,0%,Living comfortably,Bedroom,5~10 years,3 to 6 months.,No,pass,Consult professional services/ companies for help
7,North America,Not sure,Home,Sub-urban,3~5,Stand alone house,Change of lifestyle,Renovation service providers,Less costly energy-efficient solutions,Preview of the renovating result,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Good reputation/ review ratings among previous customers,Between $40K and $100K,Maybe,<5%,<$10/m2,Comfort level,Wall,Below 10%,Living comfortably,Bedroom,I have never renovated my home.,Less than 2 months.,No,pass,Search information and do most work on my own
8,Australia,Yes,Home,Urban,1~2,Stand alone house,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Price estimation,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $40K and $100K,Yes,5% ~ 10%,>$30/m2,Other(please fill in)〖All of the above〗,Other(please fill in)〖All of the above〗,Below 50%,Design including materials & technologies used,Bathroom,I have never renovated my home.,3 to 6 months.,Yes,Yes,pass
9,North America,No,Rental,Urban,1~2,Apartment/Unit,Change of lifestyle,No one,Solutions recommended by reputed technical experts,Preview of the renovating result,"Physical Adds offline (In markets, subways, buildings)",Good reputation/ review ratings among previous customers,Less than $40k,Yes,<5%,<$10/m2,Price,Window,Below 10%,Design including materials & technologies used,Study,1~5 years,Less than 2 months.,Yes,No,pass
10,Australia,Yes,Home,Sub-urban,3~5,Stand alone house,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency evaluation.,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $40K and $100K,Yes,10% ~  20%,<$10/m2,Comfort level,Roof,0%,Design including materials & technologies used,Bathroom,1~5 years,3 to 6 months.,No,pass,Consult professional services/ companies for help
11,South America,Yes,Home,Urban,1~2,Stand alone house,Enhance property value,Renovation service providers,Government reforms,Energy efficiency evaluation.,Top Google Search Results,Attracted by its previous successful cases with other customers,Between $40K and $100K,Yes,5% ~ 10%,$10/m2 ~  $20/m2,Comfort level,Window,Below 50%,Fair/acceptable price,Kitchen,1~5 years,3 to 6 months.,No,pass,Ask experienced friends to help
12,Europe,Yes,Home,Urban,1~2,Stand alone house,Improve the functionality of home,Online forums,Less costly energy-efficient solutions,Energy efficiency solutions,"Physical Adds offline (In markets, subways, buildings)",Attracted by its previous successful cases with other customers,Less than $40k,Yes,5% ~ 10%,$10/m2 ~  $20/m2,Comfort level,Wall,Below 10%,Design including materials & technologies used,Drawing room,1~5 years,3 to 6 months.,No,pass,Ask experienced friends to help
13,South America,Yes,Home,Sub-urban,3~5,Stand alone house,Lower energy costs,Online forums,Less costly energy-efficient solutions,Price estimation,Top Google Search Results,A more favorable price compared with other companies,Less than $40k,Yes,5% ~ 10%,<$10/m2,Price,Window,0%,Living comfortably,Bedroom,1~5 years,3 to 6 months.,No,pass,Search information and do most work on my own
14,North America,No,Rental,Commercial,1~2,Townhouse,Change of lifestyle,Trustworthy friend,Government reforms,Energy efficiency evaluation.,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Attracted by its website page/ app design,Between $100K and $200K,Yes,5% ~ 10%,$20/m2 ~  $30/m2,Comfort level,Wall,Below 50%,Living comfortably,Kitchen,&lt; 1 year,More than 1 year.,No,pass,Search information and do most work on my own
15,Australia,Not sure,Rental,Urban,1~2,Apartment/Unit,Improve the functionality of home,Trustworthy friend,Less costly energy-efficient solutions,Price estimation,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Attracted by its previous successful cases with other customers,Between $40K and $100K,Yes,<5%,<$10/m2,Comfort level,Wall,0%,Design including materials & technologies used,Kitchen,I have never renovated my home.,3 to 6 months.,No,pass,Ask experienced friends to help
16,Australia,Yes,Home,Urban,3~5,Stand alone house,Improve the functionality of home,Trustworthy friend,Less costly energy-efficient solutions,Price estimation,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Good reputation/ review ratings among previous customers,Less than $40k,Yes,10% ~  20%,$10/m2 ~  $20/m2,Comfort level,Window,Below 50%,Design including materials & technologies used,Bathroom,5~10 years,3 to 6 months.,Yes,Yes,pass
17,North America,No,Home,Urban,5~8,Stand alone house,Improve the functionality of home,Renovation service providers,More people in your neighborhood opting-in,Energy efficiency solutions,Top Google Search Results,Attracted by its previous successful cases with other customers,Between $100K and $200K,Yes,5% ~ 10%,$10/m2 ~  $20/m2,Comfort level,Roof,Below 50%,Living comfortably,Study,I have never renovated my home.,3 to 6 months.,No,pass,Consult professional services/ companies for help
18,North America,Yes,Investment,Pocket Neighborhood,1~2,Stand alone house,Improve the functionality of home,Trustworthy friend,Less costly energy-efficient solutions,Energy efficiency solutions,"Physical Adds offline (In markets, subways, buildings)",Attracted by its previous successful cases with other customers,Between $40K and $100K,No,<5%,$10/m2 ~  $20/m2,Comfort level,Roof,Below 10%,Living comfortably,Study,&lt; 1 year,7 to 12 months.,No,pass,Ask experienced friends to help
19,North America,Yes,Investment,Rural,3~5,Townhouse,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency evaluation.,"Video ads on streaming platforms(Youtube, Tiktok)",Attracted by its previous successful cases with other customers,Less than $40k,Maybe,>20%,<$10/m2,Comfort level,Window,Below 50%,Design including materials & technologies used,Study,5~10 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
20,North America,Not sure,Investment,Urban,1~2,Apartment/Unit,Change of lifestyle,Online forums,More people in your neighborhood opting-in,Energy efficiency solutions,Top Google Search Results,Attracted by its previous successful cases with other customers,Between $100K and $200K,No,5% ~ 10%,$10/m2 ~  $20/m2,Comfort level,Roof,Below 50%,Living comfortably,Bedroom,1~5 years,7 to 12 months.,Yes,No,pass
